Done!
Net 0, gnd 
Pin 84, from  Instance xm0 to net 0:gnd 
Pin 85, from  Instance xm0 to net 0:gnd 
Instance 22, xm1 
Pin 86, from  Instance xm1 to net 0:gnd 
Pin 87, from  Instance xm1 to net 14:net065 
Pin 88, from  Instance xm1 to net 0:gnd 
Pin 89, from  Instance xm1 to net 0:gnd 
Instance 23, xm56 
Pin 90, from  Instance xm56 to net 0:gnd 
Pin 91, from  Instance xm56 to net 0:gnd 
Pin 92, from  Instance xm56 to net 0:gnd 
Pin 93, from  Instance xm56 to net 0:gnd 
Instance 24, xm52 
Pin 94, from  Instance xm52 to net 0:gnd 
Pin 95, from  Instance xm52 to net 0:gnd 
Pin 96, from  Instance xm52 to net 0:gnd 
Pin 97, from  Instance xm52 to net 0:gnd 
Instance 25, xm51 
Pin 98, from  Instance xm51 to net 0:gnd 
Pin 99, from  Instance xm51 to net 0:gnd 
Pin 100, from  Instance xm51 to net 0:gnd 
Pin 101, from  Instance xm51 to net 0:gnd 
Instance 26, xm50 
Pin 102, from  Instance xm50 to net 0:gnd 
Pin 103, from  Instance xm50 to net 0:gnd 
Pin 104, from  Instance xm50 to net 0:gnd 
Pin 105, from  Instance xm50 to net 0:gnd 
Instance 27, xm12 
Pin 106, from  Instance xm12 to net 15:vxn 
Pin 107, from  Instance xm12 to net 1:fine_boost 
Pin 108, from  Instance xm12 to net 14:net065 
Pin 109, from  Instance xm12 to net 0:gnd 
Instance 28, xm10 
Pin 110, from  Instance xm10 to net 16:vxp 
Pin 111, from  Instance xm10 to net 1:fine_boost 
Pin 112, from  Instance xm10 to net 13:net066 
Pin 113, from  Instance xm10 to net 0:gnd 
Instance 29, xm31 
Pin 114, from  Instance xm31 to net 17:flipb 
Pin 115, from  Instance xm31 to net 18:flip 
Pin 116, from  Instance xm31 to net 0:gnd 
Pin 117, from  Instance xm31 to net 0:gnd 
Instance 30, xm16 
Pin 118, from  Instance xm16 to net 19:outm 
Pin 119, from  Instance xm16 to net 20:intern 
Pin 120, from  Instance xm16 to net 0:gnd 
Pin 121, from  Instance xm16 to net 0:gnd 
Instance 31, xm21 
Pin 122, from  Instance xm21 to net 18:flip 
Pin 123, from  Instance xm21 to net 12:clkb 
Pin 124, from  Instance xm21 to net 0:gnd 
Pin 125, from  Instance xm21 to net 0:gnd 
Instance 32, xm15 
Pin 126, from  Instance xm15 to net 21:net05 
Pin 127, from  Instance xm15 to net 22:clkn 
Pin 128, from  Instance xm15 to net 0:gnd 
Pin 129, from  Instance xm15 to net 0:gnd 
Instance 33, xm14 
Pin 130, from  Instance xm14 to net 15:vxn 
Pin 131, from  Instance xm14 to net 23:_net0 
Pin 132, from  Instance xm14 to net 21:net05 
Pin 133, from  Instance xm14 to net 0:gnd 
Instance 34, xm32 
Pin 134, from  Instance xm32 to net 22:clkn 
Pin 135, from  Instance xm32 to net 18:flip 
Pin 136, from  Instance xm32 to net 0:gnd 
Pin 137, from  Instance xm32 to net 0:gnd 
Instance 35, xm37 
Pin 138, from  Instance xm37 to net 24:vxn2 
Pin 139, from  Instance xm37 to net 17:flipb 
Pin 140, from  Instance xm37 to net 0:gnd 
Pin 141, from  Instance xm37 to net 0:gnd 
Instance 36, xm13 
Pin 142, from  Instance xm13 to net 16:vxp 
Pin 143, from  Instance xm13 to net 25:_net1 
Pin 144, from  Instance xm13 to net 21:net05 
Pin 145, from  Instance xm13 to net 0:gnd 
Instance 37, xm38 
Pin 146, from  Instance xm38 to net 26:vmidb 
Pin 147, from  Instance xm38 to net 24:vxn2 
Pin 148, from  Instance xm38 to net 0:gnd 
Pin 149, from  Instance xm38 to net 0:gnd 
Instance 38, xm43 
Pin 150, from  Instance xm43 to net 20:intern 
Pin 151, from  Instance xm43 to net 27:interp 
Pin 152, from  Instance xm43 to net 26:vmidb 
Pin 153, from  Instance xm43 to net 0:gnd 
Instance 39, xm41 
Pin 154, from  Instance xm41 to net 28:vxp2 
Pin 155, from  Instance xm41 to net 17:flipb 
Pin 156, from  Instance xm41 to net 0:gnd 
Pin 157, from  Instance xm41 to net 0:gnd 
Instance 40, xm42 
Pin 158, from  Instance xm42 to net 27:interp 
Pin 159, from  Instance xm42 to net 20:intern 
Pin 160, from  Instance xm42 to net 29:vmid 
Pin 161, from  Instance xm42 to net 0:gnd 
Instance 41, xm39 
Pin 162, from  Instance xm39 to net 29:vmid 
Pin 163, from  Instance xm39 to net 28:vxp2 
Pin 164, from  Instance xm39 to net 0:gnd 
Pin 165, from  Instance xm39 to net 0:gnd 
Instance 42, xm33 
Pin 166, from  Instance xm33 to net 11:clk 
Pin 167, from  Instance xm33 to net 17:flipb 
Pin 168, from  Instance xm33 to net 22:clkn 
Pin 169, from  Instance xm33 to net 0:gnd 
Instance 43, xm6 
Pin 170, from  Instance xm6 to net 30:outp 
Pin 171, from  Instance xm6 to net 27:interp 
Pin 172, from  Instance xm6 to net 0:gnd 
Pin 173, from  Instance xm6 to net 0:gnd 
Instance 44, xm62 
Pin 174, from  Instance xm62 to net 3:vdd 
Pin 175, from  Instance xm62 to net 11:clk 
Pin 176, from  Instance xm62 to net 16:vxp 
Pin 177, from  Instance xm62 to net 3:vdd 
Instance 45, xm61 
Pin 178, from  Instance xm61 to net 3:vdd 
Pin 179, from  Instance xm61 to net 11:clk 
Pin 180, from  Instance xm61 to net 15:vxn 
Pin 181, from  Instance xm61 to net 3:vdd 
Instance 46, xm58 
Pin 182, from  Instance xm58 to net 0:gnd 
Pin 183, from  Instance xm58 to net 0:gnd 
Pin 184, from  Instance xm58 to net 0:gnd 
Pin 185, from  Instance xm58 to net 3:vdd 
Instance 47, xm57 
Pin 186, from  Instance xm57 to net 0:gnd 
Pin 187, from  Instance xm57 to net 0:gnd 
Pin 188, from  Instance xm57 to net 0:gnd 
Pin 189, from  Instance xm57 to net 3:vdd 
Instance 48, xm55 
Pin 190, from  Instance xm55 to net 0:gnd 
Pin 191, from  Instance xm55 to net 0:gnd 
Pin 192, from  Instance xm55 to net 0:gnd 
Pin 193, from  Instance xm55 to net 3:vdd 
Instance 49, xm54 
Pin 194, from  Instance xm54 to net 0:gnd 
Pin 195, from  Instance xm54 to net 0:gnd 
Pin 196, from  Instance xm54 to net 0:gnd 
Pin 197, from  Instance xm54 to net 3:vdd 
Instance 50, xm53 
Pin 198, from  Instance xm53 to net 0:gnd 
Pin 199, from  Instance xm53 to net 0:gnd 
Pin 200, from  Instance xm53 to net 0:gnd 
Pin 201, from  Instance xm53 to net 3:vdd 
Instance 51, xm17 
Pin 202, from  Instance xm17 to net 16:vxp 
Pin 203, from  Instance xm17 to net 25:_net1 
Pin 204, from  Instance xm17 to net 31:net04 
Pin 205, from  Instance xm17 to net 3:vdd 
Instance 52, xm30 
Pin 206, from  Instance xm30 to net 17:flipb 
Pin 207, from  Instance xm30 to net 11:clk 
Pin 208, from  Instance xm30 to net 3:vdd 
Pin 209, from  Instance xm30 to net 3:vdd 
Instance 53, xm28 
Pin 210, from  Instance xm28 to net 18:flip 
Pin 211, from  Instance xm28 to net 15:vxn 
Pin 212, from  Instance xm28 to net 32:net027 
Pin 213, from  Instance xm28 to net 3:vdd 
Instance 54, xm20 
Pin 214, from  Instance xm20 to net 32:net027 
Pin 215, from  Instance xm20 to net 12:clkb 
Pin 216, from  Instance xm20 to net 3:vdd 
Pin 217, from  Instance xm20 to net 3:vdd 
Instance 55, xm2 
Pin 218, from  Instance xm2 to net 19:outm 
Pin 219, from  Instance xm2 to net 20:intern 
Pin 220, from  Instance xm2 to net 3:vdd 
Pin 221, from  Instance xm2 to net 3:vdd 
Instance 56, xm29 
Pin 222, from  Instance xm29 to net 18:flip 
Pin 223, from  Instance xm29 to net 16:vxp 
Pin 224, from  Instance xm29 to net 32:net027 
Pin 225, from  Instance xm29 to net 3:vdd 
Instance 57, xm36 
Pin 226, from  Instance xm36 to net 24:vxn2 
Pin 227, from  Instance xm36 to net 17:flipb 
Pin 228, from  Instance xm36 to net 15:vxn 
Pin 229, from  Instance xm36 to net 3:vdd 
Instance 58, xm19 
Pin 230, from  Instance xm19 to net 31:net04 
Pin 231, from  Instance xm19 to net 17:flipb 
Pin 232, from  Instance xm19 to net 3:vdd 
Pin 233, from  Instance xm19 to net 3:vdd 
Instance 59, xm18 
Pin 234, from  Instance xm18 to net 15:vxn 
Pin 235, from  Instance xm18 to net 23:_net0 
Pin 236, from  Instance xm18 to net 31:net04 
Pin 237, from  Instance xm18 to net 3:vdd 
Instance 60, xm34 
Pin 238, from  Instance xm34 to net 11:clk 
Pin 239, from  Instance xm34 to net 18:flip 
Pin 240, from  Instance xm34 to net 22:clkn 
Pin 241, from  Instance xm34 to net 3:vdd 
Instance 61, xm40 
Pin 242, from  Instance xm40 to net 28:vxp2 
Pin 243, from  Instance xm40 to net 17:flipb 
Pin 244, from  Instance xm40 to net 16:vxp 
Pin 245, from  Instance xm40 to net 3:vdd 
Instance 62, xm47 
Pin 246, from  Instance xm47 to net 20:intern 
Pin 247, from  Instance xm47 to net 24:vxn2 
Pin 248, from  Instance xm47 to net 3:vdd 
Pin 249, from  Instance xm47 to net 3:vdd 
Instance 63, xm48 
Pin 250, from  Instance xm48 to net 20:intern 
Pin 251, from  Instance xm48 to net 27:interp 
Pin 252, from  Instance xm48 to net 3:vdd 
Pin 253, from  Instance xm48 to net 3:vdd 
Instance 64, xm45 
Pin 254, from  Instance xm45 to net 26:vmidb 
Pin 255, from  Instance xm45 to net 24:vxn2 
Pin 256, from  Instance xm45 to net 3:vdd 
Pin 257, from  Instance xm45 to net 3:vdd 
Instance 65, xm49 
Pin 258, from  Instance xm49 to net 27:interp 
Pin 259, from  Instance xm49 to net 20:intern 
Pin 260, from  Instance xm49 to net 3:vdd 
Pin 261, from  Instance xm49 to net 3:vdd 
Instance 66, xm44 
Pin 262, from  Instance xm44 to net 29:vmid 
Pin 263, from  Instance xm44 to net 28:vxp2 
Pin 264, from  Instance xm44 to net 3:vdd 
Pin 265, from  Instance xm44 to net 3:vdd 
Instance 67, xm9 
Pin 266, from  Instance xm9 to net 30:outp 
Pin 267, from  Instance xm9 to net 27:interp 
Pin 268, from  Instance xm9 to net 3:vdd 
Pin 269, from  Instance xm9 to net 3:vdd 
Instance 68, xm46 
Pin 270, from  Instance xm46 to net 27:interp 
Pin 271, from  Instance xm46 to net 28:vxp2 
Pin 272, from  Instance xm46 to net 3:vdd 
Pin 273, from  Instance xm46 to net 3:vdd 
Start diff pair recognition.33
Diff pair recognized.
BEGIN GROUP!!!
xm14 xm13
xm18 xm17
xm36 xm40
xm45 xm46
xm45 xm44
xm47 xm46
xm47 xm44
xm38 xm39
xm37 xm41
xm12 xm10
END GROUP!!!
BEGIN GROUP!!!
xm17 xm18
xm40 xm36
xm46 xm45
xm46 xm47
xm44 xm45
xm44 xm47
xm39 xm38
xm41 xm37
xm13 xm14
xm10 xm12
END GROUP!!!
